,att_id,att_name,att_cat,att_price
0,86,Công Viên Thiên Đường Bảo Sơn,"Công viên, sở thú, vui chơi, giải trí",0
1,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",0
2,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",0
3,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",0
4,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",0
5,118,Bánh Mỳ Ô Long,"Ẩm thực, nghỉ ngơi",0
6,171,Quán Kem Xôi Thu Nga,"Ẩm thực, nghỉ ngơi",0
7,185,Du lịch sinh thái Bản Rõm,"Du lịch sinh thái, cắm trại",0
8,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",0
9,182,Hồ Đồng Đò,"Du lịch nghỉ dưỡng, cắm trại, bơi thuyền, ngắm cảnh",0
10,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",0
11,13,Chùa Châu Long,"Văn hóa tôn giáo, tâm linh",0
12,167,Tràng Tiền Plaza,Trung tâm thương mại,0
13,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",0
14,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",0
15,130,Vincom Center Bà Triệu,Trung tâm thương mại,0
16,130,Vincom Center Bà Triệu,Trung tâm thương mại,0
17,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",0
18,57,Quán Cháo Sườn sụn Đội Cấn,"Ẩm thực, nghỉ ngơi",0
19,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",0
